Provider CCN,CCN Facility Type,CCN category,Number of Beds,Total Costs,Cost of Charity Care,Total Income,Net Income,Net Patient Revenue,Total Days Title XVIII,Total Discharges Title XVIII,Fiscal Year Begin Date,Fiscal Year End Date
254005,PH,B,108.0,18804897.0,789638.0,2615173.0,2615173.0,25304674.0,4201.0,363.0,01-01-2021,12/31/2021
340070,STH,C,176.0,247889457.0,11667304.0,55455283.0,54685770.0,279297117.0,9848.0,2295.0,10-01-2020,09/30/2021
370215,STH,C,97.0,230210481.0,1840939.0,21845890.0,21845890.0,352333679.0,14240.0,3163.0,01-01-2021,12/31/2021
450051,STH,C,367.0,449553870.0,46415157.0,8808973.0,8807800.0,521562853.0,14986.0,2331.0,07-01-2021,06/30/2022
100001,STH,C,479.0,806534577.0,54870441.0,49177596.0,90736430.0,697048507.0,25169.0,3640.0,07-01-2021,06/30/2022
100266,STH,C,65.0,88624128.0,1594459.0,18032406.0,19310157.0,115156917.0,5165.0,1259.0,10-01-2020,09/30/2021
141338,CAH,A,25.0,29836170.0,609125.0,2314830.0,2314830.0,33292750.0,718.0,114.0,07-01-2021,06/30/2022
360025,STH,C,171.0,223160145.0,3441846.0,56429568.0,57004143.0,251561698.0,10496.0,2199.0,01-01-2021,12/31/2021
360180,STH,C,1326.0,3058279556.0,40683314.0,1346779003.0,1346779003.0,6037196525.0,91423.0,12350.0,01-01-2021,12/31/2021
360230,STH,C,449.0,389480899.0,7321686.0,222098901.0,222098901.0,525126905.0,34201.0,6311.0,01-01-2021,12/31/2021
360354,STH,C,160.0,335133179.0,4572489.0,4186716.0,4186716.0,326665915.0,13165.0,2565.0,07-01-2021,06/30/2022
360358,STH,C,10.0,14117046.0,414763.0,10164772.0,8043952.0,23416019.0,51.0,33.0,07-01-2021,06/30/2022
360364,STH,C,126.0,123637776.0,3014073.0,47514409.0,47514409.0,166218797.0,9289.0,2314.0,01-01-2021,12/31/2021
420078,STH,C,728.0,1237877262.0,68214359.0,176040106.0,175038236.0,1596052596.0,45621.0,7906.0,10-01-2020,09/30/2021
420102,STH,C,64.0,119969228.0,2543186.0,60319967.0,60251843.0,221261945.0,251.0,130.0,10-01-2020,09/30/2021
420107,STH,C,46.0,42839347.0,2754811.0,4248622.0,4248622.0,54059554.0,3873.0,716.0,10-01-2020,09/30/2021
50118,STH,C,73.0,97826892.0,1154414.0,5795242.0,5795242.0,115606119.0,4510.0,809.0,06-01-2021,05/31/2022
60032,STH,C,249.0,232362983.0,5256758.0,88449975.0,88449976.0,345212575.0,7677.0,1570.0,01-01-2021,12/31/2021
61300,CAH,A,25.0,9591509.0,48194.0,583983.0,2768109.0,7046218.0,406.0,27.0,01-01-2021,12/31/2021
161366,CAH,A,25.0,39704267.0,51893.0,5020087.0,4984259.0,39812816.0,1237.0,168.0,01-01-2021,12/31/2021
201305,CAH,A,25.0,9639683.0,38063.0,2796002.0,2796002.0,10513321.0,271.0,43.0,07-01-2021,12/31/2021
210019,STH,C,225.0,401731727.0,8628165.0,-42599850.0,-42599850.0,472127518.0,38380.0,7159.0,07-01-2021,06/30/2022
241371,CAH,A,25.0,23892577.0,1211349.0,6617320.0,6596016.0,30547107.0,1640.0,168.0,01-01-2021,12/31/2021
271337,CAH,A,20.0,5518497.0,120228.0,1790290.0,1790290.0,6380300.0,534.0,25.0,10-01-2020,05/31/2021
351329,CAH,A,16.0,15110359.0,458479.0,422790.0,422790.0,14178799.0,1539.0,65.0,01-01-2021,12/31/2021
361308,CAH,A,25.0,29094294.0,1600804.0,4489806.0,4464177.0,34999383.0,1879.0,241.0,01-01-2021,12/31/2021
501307,CAH,A,25.0,9914480.0,30966.0,4033328.0,4033328.0,9176232.0,393.0,23.0,01-01-2021,12/31/2021
670031,STH,C,61.0,86335071.0,3994135.0,4314259.0,4314259.0,89452921.0,3176.0,673.0,07-01-2021,06/30/2022
100299,STH,C,120.0,122768621.0,2367897.0,23258154.0,23258154.0,156094768.0,11345.0,2369.0,01-01-2021,12/31/2021
171373,CAH,A,25.0,26085807.0,268697.0,814163.0,780940.0,25178874.0,1245.0,141.0,01-01-2021,12/31/2021
190005,STH,C,310.0,543600474.0,48761230.0,-42448730.0,-3166208.0,688817365.0,10503.0,1331.0,01-01-2021,12/31/2021
251335,CAH,A,25.0,19923279.0,444480.0,2406913.0,2406913.0,19675416.0,1914.0,63.0,01-01-2021,12/31/2021
